title,artists,entry_1,entry_2,entry_3,weeks_1,weeks_2,weeks_3
"""Island Girl""
","Elton John
","November 1
 1975",,,3,,
"""That's the Way (I Like It)""
","KC and the Sunshine Band
","November 22
 1975","December 20
 1975",,1,1,
"""Fly, Robin, Fly""
","Silver Convention
","November 29
 1975",,,3,,
"""Let's Do It Again""
","The Staple Singers
","December 27
 1975",,,1,,
"""Saturday Night""
","Bay City Rollers
","January 3
 1976",,,1,,
"""Convoy""
","C.W. McCall
","January 10
 1976",,,1,,
"""I Write the Songs""
","Barry Manilow
","January 17
 1976",,,1,,
"""Theme from Mahogany (Do You Know Where You're Going To)""
","Diana Ross
","January 24
 1976",,,1,,
"""Love Rollercoaster""
","Ohio Players
","January 31
 1976",,,1,,
"""50 Ways to Leave Your Lover""
","Paul Simon
","February 7
 1976",,,3,,
"""Theme from S.W.A.T.""
","Rhythm Heritage
","February 28
 1976",,,1,,
"""Love Machine (Part 1)""
","The Miracles
","March 6
 1976",,,1,,
"""December, 1963 (Oh, What a Night)""
","The Four Seasons
","March 13
 1976",,,3,,
"""Disco Lady""
","Johnnie Taylor
","April 3
 1976",,,4,,
"""Let Your Love Flow""
","The Bellamy Brothers
","May 1
 1976",,,1,,
"""Welcome Back""
","John Sebastian
","May 8
 1976",,,1,,
"""Boogie Fever""
","The Sylvers
","May 15
 1976",,,1,,
"""Silly Love Songs""
","Wings
","May 22
 1976","June 12
 1976",,1,4,
"""Love Hangover""
","Diana Ross
","May 29
 1976",,,2,,
"""Afternoon Delight""
","Starland Vocal Band
","July 10
 1976",,,2,,
"""Kiss and Say Goodbye""
","The Manhattans
","July 24
 1976",,,2,,
"""Don't Go Breaking My Heart""
","Elton John and Kiki Dee
","August 7
 1976",,,4,,
"""You Should Be Dancing""
","Bee Gees
","September 4
 1976",,,1,,
"""(Shake, Shake, Shake) Shake Your Booty""
","KC and the Sunshine Band
","September 11
 1976",,,1,,
"""Play That Funky Music""
","Wild Cherry
","September 18
 1976",,,3,,
"""A Fifth of Beethoven""
","Walter Murphy and the Big Apple Band
","October 9
 1976",,,1,,
"""Disco Duck (Part 1)""
","Rick Dees and His Cast of Idiots
","October 16
 1976",,,1,,
"""If You Leave Me Now""
","Chicago
","October 23
 1976",,,2,,
"""Rock'n Me""
","Steve Miller Band
","November 6
 1976",,,1,,
"""Tonight's the Night (Gonna Be Alright)""
","Rod Stewart
","November 13
 1976","January 1
 1977",,7,1,
"""You Don't Have to Be a Star (To Be in My Show)""
","Marilyn McCoo and Billy Davis, Jr.
","January 8
 1977",,,1,,
"""You Make Me Feel Like Dancing""
","Leo Sayer
","January 15
 1977",,,1,,
"""I Wish""
","Stevie Wonder
","January 22
 1977",,,1,,
"""Car Wash""
","Rose Royce
","January 29
 1977",,,1,,
"""Torn Between Two Lovers""
","Mary MacGregor
","February 5
 1977",,,2,,
"""Blinded by the Light""
","Manfred Mann's Earth Band
","February 19
 1977",,,1,,
"""New Kid in Town""
","Eagles
","February 26
 1977",,,1,,
"""Evergreen (Love Theme from A Star Is Born)""
","Barbra Streisand
","March 5
 1977",,,3,,
"""Rich Girl""
","Daryl Hall and John Oates
","March 26
 1977",,,2,,
"""Dancing Queen""
","ABBA
","April 9
 1977",,,1,,
"""Don't Give Up on Us""
","David Soul
","April 16
 1977",,,1,,
"""Don't Leave Me This Way""
","Thelma Houston
","April 23
 1977",,,1,,
"""Southern Nights""
","Glen Campbell
","April 30
 1977",,,1,,
"""Hotel California""
","Eagles
","May 7
 1977",,,1,,
"""When I Need You""
","Leo Sayer
","May 14
 1977",,,1,,
"""Sir Duke""
","Stevie Wonder
","May 21
 1977",,,3,,
"""I'm Your Boogie Man""
","KC and the Sunshine Band
","June 11
 1977",,,1,,
"""Dreams""
","Fleetwood Mac
","June 18
 1977",,,1,,
"""Got to Give It Up (Part 1)""
","Marvin Gaye
","June 25
 1977",,,1,,
"""Gonna Fly Now (Theme From Rocky)""
","Bill Conti
","July 2
 1977",,,1,,
"""Undercover Angel""
","Alan O'Day
","July 9
 1977",,,1,,
"""Da Doo Ron Ron""
","Shaun Cassidy
","July 16
 1977",,,1,,
"""Looks Like We Made It""
","Barry Manilow
","July 23
 1977",,,1,,
"""I Just Want to Be Your Everything""
","Andy Gibb
","July 30
 1977","September 17
 1977",,3,1,
"""Best of My Love""
","The Emotions
","August 20
 1977","September 24
 1977",,4,1,
"""Star Wars Theme/Cantina Band""
","Meco
","October 1
 1977",,,2,,
"""You Light Up My Life""
","Debby Boone
","October 15
 1977",,,10,,
"""How Deep Is Your Love""
","Bee Gees
","December 24
 1977",,,3,,
"""Baby Come Back""
","Player
","January 14
 1978",,,3,,
"""Stayin' Alive""
","Bee Gees
","February 4
 1978",,,4,,
"""(Love Is) Thicker Than Water""
","Andy Gibb
","March 4
 1978",,,2,,
"""Night Fever""
","Bee Gees
","March 18
 1978",,,8,,
"""If I Can't Have You""
","Yvonne Elliman
","May 13
 1978",,,1,,
"""With a Little Luck""
","Wings
","May 20
 1978",,,2,,
"""Too Much, Too Little, Too Late""
","Johnny Mathis and Deniece Williams
","June 3
 1978",,,1,,
"""You're the One That I Want""
","John Travolta and Olivia Newton-John
","June 10
 1978",,,1,,
"""Shadow Dancing""
","Andy Gibb
","June 17
 1978",,,7,,
"""Miss You""
","The Rolling Stones
","August 5
 1978",,,1,,
"""Three Times a Lady""
","Commodores
","August 12
 1978",,,2,,
"""Grease""
","Frankie Valli
","August 26
 1978",,,2,,
"""Boogie Oogie Oogie""
","A Taste of Honey
","September 9
 1978",,,3,,
"""Kiss You All Over""
","Exile
","September 30
 1978",,,4,,
"""Hot Child in the City""
","Nick Gilder
","October 28
 1978",,,1,,
"""You Needed Me""
","Anne Murray
","November 4
 1978",,,1,,
"""MacArthur Park""
","Donna Summer
","November 11
 1978",,,3,,
"""You Don't Bring Me Flowers""
","Barbra Streisand and Neil Diamond
","December 2
 1978","December 16
 1978",,1,1,
"""Le Freak""
","Chic
","December 9
 1978","December 23
 1978","January 20
 1979",1,2,3
"""Too Much Heaven""
","Bee Gees
","January 6
 1979",,,2,,
"""Da Ya Think I'm Sexy?""
","Rod Stewart
","February 10
 1979",,,4,,
"""I Will Survive""
","Gloria Gaynor
","March 10
 1979","April 7
 1979",,2,1,
"""Tragedy""
","Bee Gees
","March 24
 1979",,,2,,
"""What a Fool Believes""
","The Doobie Brothers
","April 14
 1979",,,1,,
"""Knock on Wood""
","Amii Stewart
","April 21
 1979",,,1,,
"""Heart of Glass""
","Blondie
","April 28
 1979",,,1,,
"""Reunited""
","Peaches & Herb
","May 5
 1979",,,4,,
"""Hot Stuff""
","Donna Summer
","June 2
 1979","June 16
 1979",,1,2,
"""Love You Inside Out""
","Bee Gees
","June 9
 1979",,,1,,
"""Ring My Bell""
","Anita Ward
","June 30
 1979",,,2,,
"""Bad Girls""
","Donna Summer
","July 14
 1979",,,5,,
"""Good Times""
","Chic
","August 18
 1979",,,1,,
"""My Sharona""
","The Knack
","August 25
 1979",,,6,,
"""Sad Eyes""
","Robert John
","October 6
 1979",,,1,,
"""Don't Stop 'Til You Get Enough""
","Michael Jackson
","October 13
 1979",,,1,,
"""Rise""
","Herb Alpert
","October 20
 1979",,,2,,
"""Pop Muzik""
","M
","November 3
 1979",,,1,,
"""Heartache Tonight""
","Eagles
","November 10
 1979",,,1,,
"""Still""
","Commodores
","November 17
 1979",,,1,,
"""No More Tears (Enough Is Enough)""
","Barbra Streisand and Donna Summer
","November 24
 1979",,,2,,
"""Babe""
","Styx
","December 8
 1979",,,2,,
"""Escape (The Piña Colada Song)""
","Rupert Holmes
","December 22
 1979","January 12
 1980",,2,1,
"""Please Don't Go""
","KC and the Sunshine Band
","January 5
 1980",,,1,,
"""Rock with You""
","Michael Jackson
","January 19
 1980",,,4,,
"""Do That to Me One More Time""
","Captain & Tennille
","February 16
 1980",,,1,,
"""Crazy Little Thing Called Love""
","Queen
","February 23
 1980",,,4,,
"""Another Brick in the Wall, Part II""
","Pink Floyd
","March 22
 1980",,,4,,
"""Call Me""[16]
","Blondie
","April 19
 1980",,,6,,
"""Funkytown""
","Lipps Inc.
","May 31
 1980",,,4,,
"""Coming Up""
","Paul McCartney
","June 28
 1980",,,3,,
"""It's Still Rock and Roll to Me""
","Billy Joel
","July 19
 1980",,,2,,
"""Magic""
","Olivia Newton-John
","August 2
 1980",,,4,,
"""Sailing""
","Christopher Cross
","August 30
 1980",,,1,,
"""Upside Down""
","Diana Ross
","September 6
 1980",,,4,,
"""Another One Bites the Dust""
","Queen
","October 4
 1980",,,3,,
"""Woman in Love""
","Barbra Streisand
","October 25
 1980",,,3,,
"""Lady""
","Kenny Rogers
","November 15
 1980",,,6,,
"""(Just Like) Starting Over""
","John Lennon
","December 27
 1980",,,5,,
"""The Tide Is High""
","Blondie
","January 31
 1981",,,1,,
"""Celebration""
","Kool & the Gang
","February 7
 1981",,,2,,
"""9 to 5""
","Dolly Parton
","February 21
 1981","March 14
 1981",,1,1,
"""I Love a Rainy Night""
","Eddie Rabbitt
","February 28
 1981",,,2,,
"""Keep On Loving You""
","REO Speedwagon
","March 21
 1981",,,1,,
"""Rapture""
","Blondie
","March 28
 1981",,,2,,
"""Kiss on My List""
","Daryl Hall and John Oates
","April 11
 1981",,,3,,
"""Morning Train (Nine to Five)""
","Sheena Easton
","May 2
 1981",,,2,,
"""Bette Davis Eyes""
","Kim Carnes
","May 16
 1981","June 27
 1981",,5,4,
"""Stars on 45 Medley""
","Stars on 45
","June 20
 1981",,,1,,
"""The One That You Love""
","Air Supply
","July 25
 1981",,,1,,
"""Jessie's Girl""
","Rick Springfield
","August 1
 1981",,,2,,
"""Endless Love""
","Diana Ross and Lionel Richie
","August 15
 1981",,,9,,
"""Arthur's Theme (Best That You Can Do)""
","Christopher Cross
","October 17
 1981",,,3,,
"""Private Eyes""
","Daryl Hall and John Oates
","November 7
 1981",,,2,,
"""Physical""
","Olivia Newton-John
","November 21
 1981","January 2
 1982",,6,4,
"""I Can't Go for That (No Can Do)""
","Daryl Hall and John Oates
","January 30
 1982",,,1,,
"""Centerfold""
","The J. Geils Band
","February 6
 1982",,,6,,
"""I Love Rock 'n' Roll""
","Joan Jett and the Blackhearts
","March 20
 1982",,,7,,
"""Chariots of Fire""
","Vangelis
","May 8
 1982",,,1,,
"""Ebony and Ivory""
","Paul McCartney and Stevie Wonder
","May 15
 1982",,,7,,
"""Don't You Want Me""
","The Human League
","July 3
 1982",,,3,,
"""Eye of the Tiger""
","Survivor
","July 24
 1982",,,6,,
"""Abracadabra""
","Steve Miller Band
","September 4
 1982","September 25
 1982",,1,1,
"""Hard to Say I'm Sorry""
","Chicago
","September 11
 1982",,,2,,
"""Jack & Diane""
","John Cougar
","October 2
 1982",,,4,,
"""Who Can It Be Now?""
","Men at Work
","October 30
 1982",,,1,,
"""Up Where We Belong""
","Joe Cocker and Jennifer Warnes
","November 6
 1982",,,3,,
"""Truly""
","Lionel Richie
","November 27
 1982",,,2,,
"""Mickey""
","Toni Basil
","December 11
 1982",,,1,,
"""Maneater""
","Daryl Hall and John Oates
","December 18
 1982",,,4,,
"""Down Under""
","Men at Work
","January 15
 1983","February 12
 1983",,3,1,
"""Africa""
","Toto
","February 5
 1983",,,1,,
"""Baby, Come to Me""
","Patti Austin and James Ingram
","February 19
 1983",,,2,,
"""Billie Jean""
","Michael Jackson
","March 5
 1983",,,7,,
"""Come On Eileen""
","Dexys Midnight Runners
","April 23
 1983",,,1,,
"""Beat It""
","Michael Jackson
","April 30
 1983",,,3,,
"""Let's Dance""
","David Bowie
","May 21
 1983",,,1,,
"""Flashdance... What a Feeling""
","Irene Cara
","May 28
 1983",,,6,,
"""Every Breath You Take""
","The Police
","July 9
 1983",,,8,,
"""Sweet Dreams (Are Made of This)""
","Eurythmics
","September 3
 1983",,,1,,
"""Maniac""
","Michael Sembello
","September 10
 1983",,,2,,
"""Tell Her About It""
","Billy Joel
","September 24
 1983",,,1,,
"""Total Eclipse of the Heart""
","Bonnie Tyler
","October 1
 1983",,,4,,
"""Islands in the Stream""
","Kenny Rogers and Dolly Parton
","October 29
 1983",,,2,,
"""All Night Long (All Night)""
","Lionel Richie
","November 12
 1983",,,4,,
"""Say Say Say""
","Paul McCartney and Michael Jackson
","December 10
 1983",,,6,,
"""Owner of a Lonely Heart""
","Yes
","January 21
 1984",,,2,,
"""Karma Chameleon""
","Culture Club
","February 4
 1984",,,3,,
"""Jump""
","Van Halen
","February 25
 1984",,,5,,
"""Footloose""
","Kenny Loggins
","March 31
 1984",,,3,,
"""Against All Odds (Take a Look at Me Now)""
","Phil Collins
","April 21
 1984",,,3,,
"""Hello""
","Lionel Richie
","May 12
 1984",,,2,,
"""Let's Hear It for the Boy""
","Deniece Williams
","May 26
 1984",,,2,,
"""Time After Time""
","Cyndi Lauper
","June 9
 1984",,,2,,
"""The Reflex""
","Duran Duran
","June 23
 1984",,,2,,
"""When Doves Cry""
","Prince
","July 7
 1984",,,5,,
"""Ghostbusters""
","Ray Parker, Jr.
","August 11
 1984",,,3,,
"""What's Love Got to Do with It""
","Tina Turner
","September 1
 1984",,,3,,
"""Missing You""
","John Waite
","September 22
 1984",,,1,,
"""Let's Go Crazy""
","Prince and the Revolution
","September 29
 1984",,,2,,
"""I Just Called to Say I Love You""
","Stevie Wonder
","October 13
 1984",,,3,,
"""Caribbean Queen (No More Love on the Run)""
","Billy Ocean
","November 3
 1984",,,2,,
"""Wake Me Up Before You Go-Go""
","Wham!
","November 17
 1984",,,3,,
"""Out of Touch""
","Daryl Hall and John Oates
","December 8
 1984",,,2,,
"""Like a Virgin""
","Madonna
","December 22
 1984",,,6,,
"""I Want to Know What Love Is""
","Foreigner
","February 2
 1985",,,2,,
"""Careless Whisper""
","Wham! featuring George Michael
","February 16
 1985",,,3,,
"""Can't Fight This Feeling""
","REO Speedwagon
","March 9
 1985",,,3,,
"""One More Night""
","Phil Collins
","March 30
 1985",,,2,,
"""We Are the World""
","USA for Africa
","April 13
 1985",,,4,,
"""Crazy for You""
","Madonna
","May 11
 1985",,,1,,
"""Don't You (Forget About Me)""
","Simple Minds
","May 18
 1985",,,1,,
"""Everything She Wants""
","Wham!
","May 25
 1985",,,2,,
"""Everybody Wants to Rule the World""
","Tears for Fears
","June 8
 1985",,,2,,
"""Heaven""
","Bryan Adams
","June 22
 1985",,,2,,
"""Sussudio""
","Phil Collins
","July 6
 1985",,,1,,
"""A View to a Kill""
","Duran Duran
","July 13
 1985",,,2,,
"""Everytime You Go Away""
","Paul Young
","July 27
 1985",,,1,,
"""Shout""
","Tears for Fears
","August 3
 1985",,,3,,
"""The Power of Love""
","Huey Lewis and the News
","August 24
 1985",,,2,,
"""St. Elmo's Fire (Man in Motion)""
","John Parr
","September 7
 1985",,,2,,
"""Money for Nothing""
","Dire Straits
","September 21
 1985",,,3,,
"""Oh Sheila""
","Ready for the World
","October 12
 1985",,,1,,
"""Take On Me""
","a-ha
","October 19
 1985",,,1,,
"""Saving All My Love for You""
","Whitney Houston
","October 26
 1985",,,1,,
"""Part-Time Lover""
","Stevie Wonder
","November 2
 1985",,,1,,
"""Miami Vice Theme""
","Jan Hammer
","November 9
 1985",,,1,,
"""We Built This City""
","Starship
","November 16
 1985",,,2,,
"""Separate Lives""
","Phil Collins and Marilyn Martin
","November 30
 1985",,,1,,
"""Broken Wings""
","Mr. Mister
","December 7
 1985",,,2,,
"""Say You, Say Me""
","Lionel Richie
","December 21
 1985",,,4,,
"""That's What Friends Are For""
","Dionne and Friends
","January 18
 1986",,,4,,
"""How Will I Know""
","Whitney Houston
","February 15
 1986",,,2,,
"""Kyrie""
","Mr. Mister
","March 1
 1986",,,2,,
"""Sara""
","Starship
","March 15
 1986",,,1,,
"""These Dreams""
","Heart
","March 22
 1986",,,1,,
"""Rock Me Amadeus""
","Falco
","March 29
 1986",,,3,,
"""Kiss""
","Prince and the Revolution
","April 19
 1986",,,2,,
"""Addicted to Love""
","Robert Palmer
","May 3
 1986",,,1,,
"""West End Girls""
","Pet Shop Boys
","May 10
 1986",,,1,,
"""Greatest Love of All""
","Whitney Houston
","May 17
 1986",,,3,,
"""Live to Tell""
","Madonna
","June 7
 1986",,,1,,
"""On My Own""
","Patti LaBelle and Michael McDonald
","June 14
 1986",,,3,,
"""There'll Be Sad Songs (To Make You Cry)""
","Billy Ocean
","July 5
 1986",,,1,,
"""Holding Back the Years""
","Simply Red
","July 12
 1986",,,1,,
"""Invisible Touch""
","Genesis
","July 19
 1986",,,1,,
"""Sledgehammer""
","Peter Gabriel
","July 26
 1986",,,1,,
"""Glory of Love""
","Peter Cetera
","August 2
 1986",,,2,,
"""Papa Don't Preach""
","Madonna
","August 16
 1986",,,2,,
"""Higher Love""
","Steve Winwood
","August 30
 1986",,,1,,
"""Venus""
","Bananarama
","September 6
 1986",,,1,,
"""Take My Breath Away""
","Berlin
","September 13
 1986",,,1,,
"""Stuck with You""
","Huey Lewis and the News
","September 20
 1986",,,3,,
"""When I Think of You""
","Janet Jackson
","October 11
 1986",,,2,,
"""True Colors""
","Cyndi Lauper
","October 25
 1986",,,2,,
"""Amanda""
","Boston
","November 8
 1986",,,2,,
"""Human""
","The Human League
","November 22
 1986",,,1,,
"""You Give Love a Bad Name""
","Bon Jovi
","November 29
 1986",,,1,,
"""The Next Time I Fall""
","Peter Cetera and Amy Grant
","December 6
 1986",,,1,,
"""The Way It Is""
","Bruce Hornsby & the Range
","December 13
 1986",,,1,,
"""Walk Like an Egyptian""
","The Bangles
","December 20
 1986",,,4,,
"""Shake You Down""
","Gregory Abbott
","January 17
 1987",,,1,,
"""At This Moment""
","Billy Vera and the Beaters
","January 24
 1987",,,2,,
"""Open Your Heart""
","Madonna
","February 7
 1987",,,1,,
"""Livin' on a Prayer""
","Bon Jovi
","February 14
 1987",,,4,,
"""Jacob's Ladder""
","Huey Lewis and the News
","March 14
 1987",,,1,,
"""Lean on Me""
","Club Nouveau
","March 21
 1987",,,2,,
"""Nothing's Gonna Stop Us Now""
","Starship
","April 4
 1987",,,2,,
"""I Knew You Were Waiting (For Me)""
","Aretha Franklin and George Michael
","April 18
 1987",,,2,,
"""(I Just) Died in Your Arms""
","Cutting Crew
","May 2
 1987",,,2,,
"""With or Without You""
","U2
","May 16
 1987",,,3,,
"""You Keep Me Hangin' On""
","Kim Wilde
","June 6
 1987",,,1,,
"""Always""
","Atlantic Starr
","June 13
 1987",,,1,,
"""Head to Toe""
","Lisa Lisa and Cult Jam
","June 20
 1987",,,1,,
"""I Wanna Dance with Somebody (Who Loves Me)""
","Whitney Houston
","June 27
 1987",,,2,,
"""Alone""
","Heart
","July 11
 1987",,,3,,
"""Shakedown""
","Bob Seger
","August 1
 1987",,,1,,
"""I Still Haven't Found What I'm Looking For""
","U2
","August 8
 1987",,,2,,
"""Who's That Girl""
","Madonna
","August 22
 1987",,,1,,
"""La Bamba""
","Los Lobos
","August 29
 1987",,,3,,
"""I Just Can't Stop Loving You""
","Michael Jackson with Siedah Garrett
","September 19
 1987",,,1,,
"""Didn't We Almost Have It All""
","Whitney Houston
","September 26
 1987",,,2,,
"""Here I Go Again""
","Whitesnake
","October 10
 1987",,,1,,
"""Lost in Emotion""
","Lisa Lisa and Cult Jam
","October 17
 1987",,,1,,
"""Bad""
","Michael Jackson
","October 24
 1987",,,2,,
"""I Think We're Alone Now""
","Tiffany
","November 7
 1987",,,2,,
"""Mony Mony""
","Billy Idol
","November 21
 1987",,,1,,
"""(I've Had) The Time of My Life""
","Bill Medley and Jennifer Warnes
","November 28
 1987",,,1,,
"""Heaven Is a Place on Earth""
","Belinda Carlisle
","December 5
 1987",,,1,,
"""Faith""
","George Michael
","December 12
 1987",,,4,,
"""So Emotional""
","Whitney Houston
","January 9
 1988",,,1,,
"""Got My Mind Set on You""
","George Harrison
","January 16
 1988",,,1,,
"""The Way You Make Me Feel""
","Michael Jackson
","January 23
 1988",,,1,,
"""Need You Tonight""
","INXS
","January 30
 1988",,,1,,
"""Could've Been""
","Tiffany
","February 6
 1988",,,2,,
"""Seasons Change""
","Exposé
","February 20
 1988",,,1,,
"""Father Figure""
","George Michael
","February 27
 1988",,,2,,
"""Never Gonna Give You Up""
","Rick Astley
","March 12
 1988",,,2,,
"""Man in the Mirror""
","Michael Jackson
","March 26
 1988",,,2,,
"""Get Outta My Dreams, Get into My Car""
","Billy Ocean
","April 9
 1988",,,2,,
"""Where Do Broken Hearts Go""
","Whitney Houston
","April 23
 1988",,,2,,
"""Wishing Well""
","Terence Trent D'Arby
","May 7
 1988",,,1,,
"""Anything for You""
","Gloria Estefan and Miami Sound Machine
","May 14
 1988",,,2,,
"""One More Try""
","George Michael
","May 28
 1988",,,3,,
"""Together Forever""
","Rick Astley
","June 18
 1988",,,1,,
"""Foolish Beat""
","Debbie Gibson
","June 25
 1988",,,1,,
"""Dirty Diana""
","Michael Jackson
","July 2
 1988",,,1,,
"""The Flame""
","Cheap Trick
","July 9
 1988",,,2,,
"""Hold On to the Nights""
","Richard Marx
","July 23
 1988",,,1,,
"""Roll With It""
","Steve Winwood
","July 30
 1988",,,4,,
"""Monkey""
","George Michael
","August 27
 1988",,,2,,
"""Sweet Child o' Mine""
","Guns N' Roses
","September 10
 1988",,,2,,
"""Don't Worry, Be Happy""
","Bobby McFerrin
","September 24
 1988",,,2,,
"""Love Bites""
","Def Leppard
","October 8
 1988",,,1,,
"""Red Red Wine""
","UB40
","October 15
 1988",,,1,,
"""A Groovy Kind of Love""
","Phil Collins
","October 22
 1988",,,2,,
"""Kokomo""
","The Beach Boys
","November 5
 1988",,,1,,
"""Wild, Wild West""
","The Escape Club
","November 12
 1988",,,1,,
"""Bad Medicine""
","Bon Jovi
","November 19
 1988",,,2,,
"""Baby, I Love Your Way/Freebird Medley""
","Will to Power
","December 3
 1988",,,1,,
"""Look Away""
","Chicago
","December 10
 1988",,,2,,
"""Every Rose Has Its Thorn""
","Poison
","December 24
 1988",,,3,,
"""My Prerogative""
","Bobby Brown
","January 14
 1989",,,1,,
"""Two Hearts""
","Phil Collins
","January 21
 1989",,,2,,
"""When I'm with You""
","Sheriff
","February 4
 1989",,,1,,
"""Straight Up""
","Paula Abdul
","February 11
 1989",,,3,,
"""Lost in Your Eyes""
","Debbie Gibson
","March 4
 1989",,,3,,
"""The Living Years""
","Mike + The Mechanics
","March 25
 1989",,,1,,
"""Eternal Flame""
","The Bangles
","April 1
 1989",,,1,,
"""The Look""
","Roxette
","April 8
 1989",,,1,,
"""She Drives Me Crazy""
","Fine Young Cannibals
","April 15
 1989",,,1,,
"""Like a Prayer""
","Madonna
","April 22
 1989",,,3,,
"""I'll Be There for You""
","Bon Jovi
","May 13
 1989",,,1,,
"""Forever Your Girl""
","Paula Abdul
","May 20
 1989",,,2,,
"""Rock On""
","Michael Damian
","June 3
 1989",,,1,,
"""Wind Beneath My Wings""
","Bette Midler
","June 10
 1989",,,1,,
"""I'll Be Loving You (Forever)""
","New Kids on the Block
","June 17
 1989",,,1,,
"""Satisfied""
","Richard Marx
","June 24
 1989",,,1,,
"""Baby Don't Forget My Number""
","Milli Vanilli
","July 1
 1989",,,1,,
"""Good Thing""
","Fine Young Cannibals
","July 8
 1989",,,1,,
"""If You Don't Know Me By Now""
","Simply Red
","July 15
 1989",,,1,,
"""Toy Soldiers""
","Martika
","July 22
 1989",,,2,,
"""Batdance""
","Prince
","August 5
 1989",,,1,,
"""Right Here Waiting""
","Richard Marx
","August 12
 1989",,,3,,
"""Cold Hearted""
","Paula Abdul
","September 2
 1989",,,1,,
"""Hangin' Tough""
","New Kids On the Block
","September 9
 1989",,,1,,
"""Don't Wanna Lose You""
","Gloria Estefan
","September 16
 1989",,,1,,
"""Girl I'm Gonna Miss You""
","Milli Vanilli
","September 23
 1989",,,2,,
"""Miss You Much""
","Janet Jackson
","October 7
 1989",,,4,,
"""Listen to Your Heart""
","Roxette
","November 4
 1989",,,1,,
"""When I See You Smile""
","Bad English
","November 11
 1989",,,2,,
"""Blame It on the Rain""
","Milli Vanilli
","November 25
 1989",,,2,,
"""We Didn't Start the Fire""
","Billy Joel
","December 9
 1989",,,2,,
"""Another Day in Paradise""
","Phil Collins
","December 23
 1989",,,4,,
"""How Am I Supposed to Live Without You""
","Michael Bolton
","January 20
 1990",,,3,,
"""Opposites Attract""
","Paula Abdul with The Wild Pair
","February 10
 1990",,,3,,
"""Escapade""
","Janet Jackson
","March 3
 1990",,,3,,
"""Black Velvet""
","Alannah Myles
","March 24
 1990",,,2,,
"""Love Will Lead You Back""
","Taylor Dayne
","April 7
 1990",,,1,,
"""I'll Be Your Everything""
","Tommy Page
","April 14
 1990",,,1,,
"""Nothing Compares 2 U""
","Sinéad O'Connor
","April 21
 1990",,,4,,
"""Vogue""
","Madonna
","May 19
 1990",,,3,,
"""Hold On""
","Wilson Phillips
","June 9
 1990",,,1,,
"""It Must Have Been Love""
","Roxette
","June 16
 1990",,,2,,
"""Step by Step""
","New Kids on the Block
","June 30
 1990",,,3,,
"""She Ain't Worth It""
","Glenn Medeiros featuring Bobby Brown
","July 21
 1990",,,2,,
"""Vision of Love""
","Mariah Carey
","August 4
 1990",,,4,,
"""If Wishes Came True""
","Sweet Sensation
","September 1
 1990",,,1,,
"""Blaze of Glory""
","Jon Bon Jovi
","September 8
 1990",,,1,,
"""Release Me""
","Wilson Phillips
","September 15
 1990",,,2,,
"""(Can't Live Without Your) Love and Affection""
","Nelson
","September 29
 1990",,,1,,
"""Close to You""
","Maxi Priest
","October 6
 1990",,,1,,
"""Praying for Time""
","George Michael
","October 13
 1990",,,1,,
"""I Don't Have the Heart""
","James Ingram
","October 20
 1990",,,1,,
"""Black Cat""
","Janet Jackson
","October 27
 1990",,,1,,
"""Ice Ice Baby""
","Vanilla Ice
","November 3
 1990",,,1,,
"""Love Takes Time""
","Mariah Carey
","November 10
 1990",,,3,,
"""I'm Your Baby Tonight""
","Whitney Houston
","December 1
 1990",,,1,,
"""Because I Love You (The Postman Song)""
","Stevie B
","December 8
 1990",,,4,,
"""Justify My Love""
","Madonna
","January 5
 1991",,,2,,
"""Love Will Never Do (Without You)""
","Janet Jackson
","January 19
 1991",,,1,,
"""The First Time""
","Surface
","January 26
 1991",,,2,,
"""Gonna Make You Sweat (Everybody Dance Now)""
","C+C Music Factory featuring Freedom Williams
","February 9
 1991",,,2,,
"""All the Man That I Need""
","Whitney Houston
","February 23
 1991",,,2,,
"""Someday""
","Mariah Carey
","March 9
 1991",,,2,,
"""One More Try""
","Timmy T
","March 23
 1991",,,1,,
"""Coming Out of the Dark""
","Gloria Estefan
","March 30
 1991",,,2,,
"""I've Been Thinking About You""
","Londonbeat
","April 13
 1991",,,1,,
"""You're in Love""
","Wilson Phillips
","April 20
 1991",,,1,,
"""Baby Baby""
","Amy Grant
","April 27
 1991",,,2,,
"""Joyride""
","Roxette
","May 11
 1991",,,1,,
"""I Like the Way (The Kissing Game)""
","Hi-Five
","May 18
 1991",,,1,,
"""I Don't Wanna Cry""
","Mariah Carey
","May 25
 1991",,,2,,
"""More Than Words""
","Extreme
","June 8
 1991",,,1,,
"""Rush Rush""
","Paula Abdul
","June 15
 1991",,,5,,
"""Unbelievable""
","EMF
","July 20
 1991",,,1,,
"""(Everything I Do) I Do It for You""
","Bryan Adams
","July 27
 1991",,,7,,
"""The Promise of a New Day""
","Paula Abdul
","September 14
 1991",,,1,,
"""I Adore Mi Amor""
","Color Me Badd
","September 21
 1991",,,2,,
"""Good Vibrations""
","Marky Mark and the Funky Bunch featuring Loleatta Holloway
","October 5
 1991",,,1,,
"""Emotions""
","Mariah Carey
","October 12
 1991",,,3,,
"""Romantic""
","Karyn White
","November 2
 1991",,,1,,
"""Cream""
","Prince and the New Power Generation
","November 9
 1991",,,2,,
